Structure of Structure [idcode],Structure,Molecular Formula,OSM ID,MMV ID,PubChem ID Links,PubChem ID,ChEMBL Molecule ID Links,ChEMBL Molecule ID,Internal ID,Series,InChI,InChI-Key,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PfATP4 'Test Set',Ion Regulation (ANU),Pb Liver Stage,Cytotox HepG2,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),CLint HLM (Monash),CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Parasit Cl,"Aldehyde Oxidase CLint,app (?L/min/mg)"
fci@`CAbgJ`RAIA\anPrJJKKIJJIQPpiZLxDl\cgA@UTuLuUTM@@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)N4CCC(CC4)(F)F)F)F,C18H17N5OF4,OSM-S-518,MMV1579347,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345730"">162345730</a>",162345730,Not in ChEMBL,Not in ChEMBL,MK048-1,4,"InChI=1S/C18H17F4N5O/c19-13-2-1-12(9-14(13)20)3-8-28-16-11-23-10-15-24-25-17(27(15)16)26-6-4-18(21,22)5-7-26/h1-2,9-11H,3-8H2",QEKAFCQAHVHCHN-UHFFFAOYSA-N,,,,1.51,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fewiA@CAbgJ`RAICHhhlldhheECBds`RqrN\DAUSTsUTM@@@,c1cc(c(cc1CCOc2cncc3n2c(nn3)N4CCCCC4)F)F,C18H19N5OF2,OSM-X-049,MMV669009,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/76325850"">76325850</a>",76325850,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137586"">CHEMBL3137586</a>",CHEMBL3137586,INHERITED,4,"InChI=1S/C18H19F2N5O/c19-14-5-4-13(10-15(14)20)6-9-26-17-12-21-11-16-22-23-18(25(16)17)24-7-2-1-3-8-24/h4-5,10-12H,1-3,6-9H2",ZKHZGOFEMNTIFA-UHFFFAOYSA-N,2.63,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcia@MFlUn@{AHHdDfvUvVyWvUEJwdeWnj@BZjZjjhV@@,c1cc(ccc1c2nnc3n2c(cnc3)OCCN4CCOCC4)OC(F)F,C18H19N5O3F2,OSM-S-498,MMV1577575,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/162345725"">162345725</a>",162345725,Not in ChEMBL,Not in ChEMBL,EGT 282-1,4,"InChI=1S/C18H19F2N5O3/c19-18(20)28-14-3-1-13(2-4-14)17-23-22-15-11-21-12-16(25(15)17)27-10-7-24-5-8-26-9-6-24/h1-4,11-12,18H,5-10H2",SBJHRXFPKNPJRB-UHFFFAOYSA-N,,,,>10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDB@NC@hleE`H`bPNdKiCHhhmMihheECBedhpHDUEdMMAADtuLp@UPp@@@,c1cc(c(c(c1)Cl)F)NC(=O)c2cncc3n2c(nn3)c4ccc(cc4)OC(F)F,C19H11N5O2ClF3,OSM-S-204,MMV675946,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/127053496"">127053496</a>",127053496,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3832895"">CHEMBL3832895</a>",CHEMBL3832895,,4,"InChI=1S/C19H11ClF3N5O2/c20-12-2-1-3-13(16(12)21)25-18(29)14-8-24-9-15-26-27-17(28(14)15)10-4-6-11(7-5-10)30-19(22)23/h1-9,19H,(H,25,29)",WBRLFZGDBUVKSB-UHFFFAOYSA-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eghZDB@AC@hleE`H`bPNdKiCHhhllihheECBedhqpDUEdMMA@TtuLp@UPp@@@,FC(C(Cl)=C1)=CC=C1NC(C2=CN=CC3=NN=C(C4=CC=C(OC(F)F)C=C4)N32)=O,C19H11ClF3N5O2,OSM-S-379,MMV670767,"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/127053496"">127053496</a>",76318586,"<a href=""https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3137631"">CHEMBL3137631</a>",CHEMBL3137631,EGT 141-1,4,"InChI=1S/C19H11ClF3N5O2/c20-13-7-11(3-6-14(13)21)25-18(29)15-8-24-9-16-26-27-17(28(15)16)10-1-4-12(5-2-10)30-19(22)23/h1-9,19H,(H,25,29)",WFJPUMPZNOYIKX-UHFFFAOYSA-N,0.191,,,0.398,,,,0.2945,,B,Yes,,,,,37,,19,,,,,47,,91,,,,,0.65,0.66,,,,,3.1,3.1-6.3,3.1-6.3,,,92.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
