OSM Number,Batch,Internal ID,,PubChem CID,MMV ID,SMILES,InChI,IChI Key,Series,Assays,PfaI EC50 (Inh),Pfal IC50 (GSK),Pfal IC50 (Syngene),Pfal IC50 (Dundee),0,Pfal (K1) IC50 (Avery),Pfal IC50 (Ralph),Pfal IC50 (Guy),Pfal (K1) IC50 (Guy),Pfal IC50 (Batra),Pfal (K1) IC50 (Batra),Pfal (3D7) IC50 (Broad),Pfal (Dd2) IC50 (Broad),PfaI EC50 uMol (Mean) Qualifier,PfaI EC50 uMol (Mean),Single Shot Inhibition %,PRR (Rate of Killing),PfATP4 'Test Set',Ion Regulation (ANU),DHODH,Late Stage Gametocyte (Avery),Pb Liver Stage,Cytotox HepG2,Cytotox HEK293 (120),Cytotox HEK293 (40),Cytotox Vero MTT,Cytotox THP1,hERG pIC50,t1/2 HLM (Monash),t1/2 HLM (Inh),t1/2 MLM (Monash),t1/2 RLM (Inh),t1/2 RLM (Monash),t1/2 HCH (Monash),t1/2 RCH (Monash),t1/2 plasma Human,t1/2 plasma Mouse,CLint HLM (Monash),%remain plasma Human,%remain plasma Mouse,CLint HLM (Inh),CLint MLM (Monash),CLint RLM (Inh),CLint RLM (Monash),CLint HCH (Monash),CLint RCH (Monash),EH H M'some (Monash),EH M M'some (Monash),EH R M'some (Monash),EH H H'cyte (Monash),EH R H'cyte (Monash),LogD 3.0 (Monash),LogD 7.4 (Monash),Sol 2.0 ug/mL (Monash),Sol 6.5 ug/mL (Monash),Sol 6.8 uM (Inh),Sol 7.4 uM (Inh),cPPB % (Monash),CL Rat (Inh),Vss Rat (Inh),T1/2 Rat (Inh),Tmax Rat (Inh),Oral F Rat (Inh),Dofetilide (Inh),Cerep (Inh),Vivo NOD/SCID ED90,Vivo Berghei %activity,Vivo Parasit Cl,"Aldehyde Oxidase
 CLint,app (µL/min/mg)"
OSM-S-653,,MK026-5b,,,,C1(N2CCCCC2)=NC=CN3C1=NN=C3,"InChI=1S/C10H13N5/c1-2-5-14(6-3-1)9-10-13-12-8-15(10)7-4-11-9/h4,7-8H,1-3,5-6H2",OSDRNZLURXMZMM-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-654,,MK072,,,,OCC(COC1=CN=CC2=NN=CN21)C3=CC=CC=C3,"InChI=1S/C14H14N4O2/c19-8-12(11-4-2-1-3-5-11)9-20-14-7-15-6-13-17-16-10-18(13)14/h1-7,10,12,19H,8-9H2",ZRZNYUUQFIEVFB-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-655,,MK073,,,,OCC(COC1=CN=CC2=NN=C(Br)N21)C3=CC=CC=C3,"InChI=1S/C14H13BrN4O2/c15-14-18-17-12-6-16-7-13(19(12)14)21-9-11(8-20)10-4-2-1-3-5-10/h1-7,11,20H,8-9H2",VKLPFIVNHMDSBN-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-656,,MK084-1,,,,C12=NN=C(C3=CC=CC=C3)N1C=CN=C2,InChI=1S/C11H8N4/c1-2-4-9(5-3-1)11-14-13-10-8-12-6-7-15(10)11/h1-8H,QMCVZELPVJXRER-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-657,,MK092,,,,NNC1=NC=CN=C1Cl,"InChI=1S/C4H5ClN4/c5-3-4(9-6)8-2-1-7-3/h1-2H,6H2,(H,8,9)",PUUGNIKJWZNTBK-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-658,,MK102,,,,NNC1=NC(Br)=CN=C1,"InChI=1S/C4H5BrN4/c5-3-1-7-2-4(8-3)9-6/h1-2H,6H2,(H,8,9)",QLPKFPXXWNPHME-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-659,,MK124,,,,IC1=CN=CC(NN)=N1,"InChI=1S/C4H5IN4/c5-3-1-7-2-4(8-3)9-6/h1-2H,6H2,(H,8,9)",FCFLFWPRNQYVEM-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-660,,MK123-1,,,,IC1=NC(I)=CN=C1,InChI=1S/C4H2I2N2/c5-3-1-7-2-4(6)8-3/h1-2H,XDGFMLMNWQGILQ-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-661,,MK166-1,,,,ClC1=CN=CC(N12)=NN=C2C3=C4C(OCO4)=CC=C3,"InChI=1S/C12H7ClN4O2/c13-9-4-14-5-10-15-16-12(17(9)10)7-2-1-3-8-11(7)19-6-18-8/h1-5H,6H2",GIQYRIATQMHULE-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-662,,MK167-1,,,MMV1794874,FC1=C(F)C=C(CCOC2=CN=CC(N23)=NN=C3C4=C5C(OCO5)=CC=C4)C=C1,"InChI=1S/C20H14F2N4O3/c21-14-5-4-12(8-15(14)22)6-7-27-18-10-23-9-17-24-25-20(26(17)18)13-2-1-3-16-19(13)29-11-28-16/h1-5,8-10H,6-7,11H2",GDVWTTMGYDZCGA-UHFFFAOYSA-N,4,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-663,,MK026-5a,,,,C12=NN=CN1C(N3CCCCC3)=CN=C2,"InChI=1S/C10H13N5/c1-2-4-14(5-3-1)10-7-11-6-9-13-12-8-15(9)10/h6-8H,1-5H2",XCBYUWWWXQBWDR-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-664,,MK120-5,,,,COC(C=C1)=CC=C1C2=NN=C3C(O)=NC=CN32,"InChI=1S/C12H10N4O2/c1-18-9-4-2-8(3-5-9)10-14-15-11-12(17)13-6-7-16(10)11/h2-7H,1H3,(H,13,17)",LBIYJXWLGHETPK-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-665,,MK151,,,,OCC(CO)(CO)C1=CC=CC=C1,"InChI=1S/C10H14O3/c11-6-10(7-12,8-13)9-4-2-1-3-5-9/h1-5,11-13H,6-8H2",IUOHRYWQNVCEHR-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-666,,SSP 2019A2,,,MMV1794865,CC1=CC=C(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)C=C1,"InChI=1S/C20H18N4O/c1-15-7-9-17(10-8-15)20-23-22-18-13-21-14-19(24(18)20)25-12-11-16-5-3-2-4-6-16/h2-10,13-14H,11-12H2,1H3",SXWAAPADJHJBSD-UHFFFAOYSA-N,4,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-667,,SSP 2019B1,,,,ClC1=CN=CC(N12)=NN=C2C3=CC4=C(OCC4)C=C3,"InChI=1S/C13H9ClN4O/c14-11-6-15-7-12-16-17-13(18(11)12)9-1-2-10-8(5-9)3-4-19-10/h1-2,5-7H,3-4H2",LRCUJQCXKWBNIJ-UHFFFAOYSA-N,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-668,,SSP 2019B2a,,,MMV1794867,C1(CCOC2=CN=CC(N23)=NN=C3C4=CC5=C(OCC5)C=C4)=CC=CC=C1,"InChI=1S/C21H18N4O2/c1-2-4-15(5-3-1)8-10-27-20-14-22-13-19-23-24-21(25(19)20)17-6-7-18-16(12-17)9-11-26-18/h1-7,12-14H,8-11H2",CZAGUUPDYUFYFD-UHFFFAOYSA-N,4,,,,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM-S-669,,SSP 2019B2b,,,MMV1794868,C1(CCOC2=NC=CN3C2=NN=C3C4=CC5=C(OCC5)C=C4)=CC=CC=C1,"InChI=1S/C21H18N4O2/c1-2-4-15(5-3-1)8-12-27-21-20-24-23-19(25(20)11-10-22-21)17-6-7-18-16(14-17)9-13-26-18/h1-7,10-11,14H,8-9,12-13H2",OPUDZTPTHQKNEJ-UHFFFAOYSA-N,4,,,,,>25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
